filepath,testclass,testname,line number,assert string
tests\test_basic.py,,test_run_from_config,1887,assert port == expect_port
tests\test_basic.py,,test_run_server_port,1867,assert rv['result'] == f'running on {hostname}:{port} ...'
tests\test_basic.py,,test_server_name_matching,1518,assert r.text == expect_base
tests\test_basic.py,,test_server_name_matching,1521,assert r.text == expect_abc
tests\test_basic.py,,test_server_name_matching,1526,assert r.text == expect_xyz
tests\test_basic.py,,test_server_name_subdomain,1543,assert rv.data == b'default'
tests\test_basic.py,,test_server_name_subdomain,1546,assert rv.data == b'default'
tests\test_basic.py,,test_server_name_subdomain,1549,assert rv.data == b'default'
tests\test_basic.py,,test_server_name_subdomain,1556,assert rv.data == b'default'
tests\test_basic.py,,test_server_name_subdomain,1560,assert rv.data == b'default'
tests\test_basic.py,,test_server_name_subdomain,1568,assert rv.status_code == 404
tests\test_basic.py,,test_server_name_subdomain,1571,assert rv.data == b'subdomain'
tests\test_basic.py,,test_session,237,assert not flask.session.accessed
tests\test_basic.py,,test_session,238,assert not flask.session.modified
tests\test_basic.py,,test_session,240,assert flask.session.accessed
tests\test_basic.py,,test_session,241,assert flask.session.modified
tests\test_basic.py,,test_session,246,assert not flask.session.accessed
tests\test_basic.py,,test_session,247,assert not flask.session.modified
tests\test_basic.py,,test_session,249,assert flask.session.accessed
tests\test_basic.py,,test_session,250,assert not flask.session.modified
tests\test_basic.py,,test_session,253,"assert client.post('/set', data={'value': '42'}).data == b'value set'"
tests\test_basic.py,,test_session,254,assert client.get('/get').data == b'42'
tests\test_basic.py,,test_session_cookie_setting,487,assert c.get('/bump').data == b'1'
tests\test_basic.py,,test_session_cookie_setting,488,assert c.get('/bump').data == b'2'
tests\test_basic.py,,test_session_cookie_setting,489,assert c.get('/bump').data == b'3'
tests\test_basic.py,,test_session_cookie_setting,493,assert (set_cookie is not None) == expect_header
tests\test_basic.py,,test_session_cookie_setting,494,assert rv.data == b'3'
tests\test_basic.py,,test_session_expiration,409,assert 'set-cookie' in rv.headers
tests\test_basic.py,,test_session_expiration,413,assert expires.year == expected.year
tests\test_basic.py,,test_session_expiration,414,assert expires.month == expected.month
tests\test_basic.py,,test_session_expiration,415,assert expires.day == expected.day
tests\test_basic.py,,test_session_expiration,418,assert rv.data == b'True'
tests\test_basic.py,,test_session_expiration,422,assert 'set-cookie' in rv.headers
tests\test_basic.py,,test_session_expiration,424,assert match is None
tests\test_basic.py,,test_session_path,266,assert 'path=/foo' in rv.headers['set-cookie'].lower()
tests\test_basic.py,,test_session_refresh_vary,586,assert rv.headers['Vary'] == 'Cookie'
tests\test_basic.py,,test_session_refresh_vary,588,assert rv.headers['Vary'] == 'Cookie'
tests\test_basic.py,,test_session_secret_key_fallbacks,386,assert client.get().json == {'a': 1}
tests\test_basic.py,,test_session_secret_key_fallbacks,389,assert client.get().json == {}
tests\test_basic.py,,test_session_secret_key_fallbacks,392,assert client.get().json == {'a': 1}
tests\test_basic.py,,test_session_special_types,460,"assert s['t'] == (1, 2, 3)"
tests\test_basic.py,,test_session_special_types,461,assert type(s['b']) is bytes
tests\test_basic.py,,test_session_special_types,462,assert s['b'] == b'\xff'
tests\test_basic.py,,test_session_special_types,463,assert type(s['m']) is Markup
tests\test_basic.py,,test_session_special_types,464,assert s['m'] == Markup('<html>')
tests\test_basic.py,,test_session_special_types,465,assert s['u'] == the_uuid
tests\test_basic.py,,test_session_special_types,466,assert s['d'] == now
tests\test_basic.py,,test_session_special_types,467,assert s['t_tag'] == {' t': 'not-a-tuple'}
tests\test_basic.py,,test_session_special_types,468,assert s['di_t_tag'] == {' t__': 'not-a-tuple'}
tests\test_basic.py,,test_session_special_types,469,assert s['di_tag'] == {' di': 'not-a-dict'}
tests\test_basic.py,,test_session_stored_last,437,assert client.get('/').data == b'None'
tests\test_basic.py,,test_session_stored_last,438,assert client.get('/').data == b'42'
tests\test_basic.py,,test_session_using_application_root,288,assert 'path=/bar' in rv.headers['set-cookie'].lower()
tests\test_basic.py,,test_session_using_samesite_attribute,348,assert 'samesite' not in cookie
tests\test_basic.py,,test_session_using_samesite_attribute,353,assert 'samesite=strict' in cookie
tests\test_basic.py,,test_session_using_samesite_attribute,358,assert 'samesite=lax' in cookie
tests\test_basic.py,,test_session_using_session_settings,316,assert 'domain=example.com' in cookie or 'domain=.example.com' in cookie
tests\test_basic.py,,test_session_using_session_settings,317,assert 'path=/' in cookie
tests\test_basic.py,,test_session_using_session_settings,318,assert 'secure' in cookie
tests\test_basic.py,,test_session_using_session_settings,319,assert 'httponly' not in cookie
tests\test_basic.py,,test_session_using_session_settings,320,assert 'samesite' in cookie
tests\test_basic.py,,test_session_using_session_settings,321,assert 'partitioned' in cookie
tests\test_basic.py,,test_session_using_session_settings,325,assert 'session=;' in cookie
tests\test_basic.py,,test_session_using_session_settings,327,assert 'domain=example.com' in cookie or 'domain=.example.com' in cookie
tests\test_basic.py,,test_session_using_session_settings,328,assert 'path=/' in cookie
tests\test_basic.py,,test_session_using_session_settings,329,assert 'secure' in cookie
tests\test_basic.py,,test_session_using_session_settings,330,assert 'samesite' in cookie
tests\test_basic.py,,test_session_using_session_settings,331,assert 'partitioned' in cookie
